Time Intervals,photovoltaic,wind,Demand
tX0527,0,1938.0,56529.5
tX0528,0,1801.0,52883.25
tX0529,0,1668.0,50468.0
tX0530,0,1572.0,48413.75
tX0531,0,1493.0,47354.25
tX0532,0,1477.0,47701.0
tX0533,0,1517.0,48693.75
tX0534,0,1426.0,51364.75
tX0535,0,1425.0,58458.0
tX0536,0,1399.0,65550.25
tX0537,45.0,1262.0,67899.0
tX0538,349.0,1051.0,67964.75
tX0539,816.0,924.0,68975.0
tX0540,1273.0,831.0,69302.5
tX0541,1484.0,797.0,68672.75
tX0542,1399.0,813.0,67527.75
tX0543,1023.0,830.0,66274.75
tX0544,506.0,873.0,65527.75
tX0545,98.0,1021.0,65568.25
tX0546,6.0,1071.0,68451.75
tX0547,0,1203.0,68292.0
tX0548,0,1457.0,65938.5
tX0549,0,1936.0,61886.5
tX0550,0,2627.0,58756.0
tX0551,0,3298.0,57114.75
tX0552,0,3924.0,54342.75
tX0553,0,4410.0,51485.0
tX0554,0,4818.0,48828.5
tX0555,0,5541.0,49604.25
tX0556,0,6644.0,50036.5
tX0557,0,7357.0,49692.75
tX0558,0,7515.0,47667.5
tX0559,0,7918.0,45995.0
tX0560,0,8095.0,48721.75
tX0561,155.0,7917.0,51428.0
tX0562,736.0,7598.0,55078.5
tX0563,1219.0,7062.0,57503.25
tX0564,1729.0,6186.0,59551.5
tX0565,2016.0,5429.0,59125.0
tX0566,1919.0,5200.0,57253.25
tX0567,1323.0,4857.0,55673.25
tX0568,633.0,4891.0,54901.25
tX0569,89.0,5251.0,55053.75
tX0570,3.0,5633.0,59050.5
tX0571,0,6295.0,60139.75
tX0572,0,6706.0,57728.5
tX0573,0,7050.0,53549.5
tX0574,0,7136.0,50934.0
tX0575,0,7091.0,50691.75
tX0576,0,7529.0,47987.25
tX0577,0,7636.0,45169.75
tX0578,0,7940.0,43334.75
tX0579,0,7857.0,42024.5
tX0580,0,7772.0,41170.25
tX0581,0,7461.0,40914.5
tX0582,0,7131.0,40264.75
tX0583,0,6690.0,38751.75
tX0584,0,6460.0,40614.0
tX0585,124.0,6040.0,43436.75
tX0586,724.0,5637.0,47561.75
tX0587,1386.0,4801.0,50737.0
tX0588,2013.0,4261.0,53265.5
tX0589,2317.0,3979.0,52927.5
tX0590,2241.0,3621.0,50749.0
tX0591,1690.0,3299.0,49304.25
tX0592,876.0,3063.0,48788.25
tX0593,176.0,3061.0,49873.25
tX0594,7.0,2987.0,54455.75
tX0595,0,2971.0,56391.0
tX0596,0,2940.0,55106.5
tX0597,0,2892.0,52594.75
tX0598,0,2751.0,51110.75
tX0599,0,2666.0,51560.0
tX0600,0,2725.0,48789.25
tX0601,0,3052.0,45835.25
tX0602,0,3437.0,43953.25
tX0603,0,3842.0,43477.25
tX0604,0,4300.0,43711.75
tX0605,0,4862.0,45233.25
tX0606,0,5308.0,48992.0
tX0607,0,5884.0,57880.0
tX0608,0,6611.0,65056.0
tX0609,139.0,7169.0,67735.75
tX0610,541.0,7908.0,67579.5
tX0611,1101.0,8549.0,69089.25
tX0612,1771.0,9096.0,70466.5
tX0613,2249.0,9882.0,70242.75
tX0614,2247.0,10388.0,69764.0
tX0615,1582.0,10613.0,68515.75
tX0616,789.0,10977.0,67528.25
tX0617,155.0,11797.0,67227.75
tX0618,6.0,12928.0,70023.5
tX0619,0,13941.0,70369.25
tX0620,0,14083.0,68933.0
tX0621,0,13822.0,64937.0
tX0622,0,13490.0,61185.75
tX0623,0,13771.0,58386.5
tX0624,0,14813.0,54197.0
tX0625,0,15412.0,50927.75
tX0626,0,15566.0,48930.75
tX0627,0,15593.0,48014.0
tX0628,0,15251.0,48329.25
tX0629,0,15239.0,49271.0
tX0630,0,15169.0,51925.0
tX0631,0,14988.0,59334.5
tX0632,0,15008.0,66175.0
tX0633,138.0,14314.0,68065.5
tX0634,1032.0,12860.0,67553.25
tX0635,2221.0,12578.0,68273.75
tX0636,3309.0,12248.0,69322.75
tX0637,3721.0,12240.0,68821.75
tX0638,3207.0,11682.0,68250.25
tX0639,2337.0,11543.0,67639.75
tX0640,1292.0,10540.0,67050.0
tX0641,291.0,9090.0,66141.5
tX0642,11.0,7886.0,68693.0
tX0643,0,7686.0,69500.75
tX0644,0,7423.0,67582.0
tX0645,0,6791.0,63622.25
tX0646,0,6547.0,60398.75
tX0647,0,6521.0,57895.75
tX0648,0,6160.0,53740.5
tX0649,0,6332.0,50301.75
tX0650,0,6113.0,47896.75
tX0651,0,6216.0,46744.0
tX0652,0,6694.0,46926.5
tX0653,0,7485.0,48376.0
tX0654,0,8528.0,51543.5
tX0655,0,9776.0,58841.75
tX0656,0,11345.0,65908.5
tX0657,142.0,12828.0,67904.75
tX0658,899.0,14662.0,68285.5
tX0659,1893.0,16597.0,69411.5
tX0660,2846.0,18909.0,70676.0
tX0661,3444.0,21139.0,70727.75
tX0662,3300.0,23184.0,70546.0
tX0663,2436.0,24715.0,69940.25
tX0664,1297.0,25556.0,70001.5
tX0665,297.0,26798.0,69995.25
tX0666,10.0,27328.0,72601.25
tX0667,0,27296.0,73056.5
tX0668,0,26337.0,70852.25
tX0669,0,26161.0,66772.75
tX0670,0,25730.0,64029.5
tX0671,0,24730.0,62492.75
tX0672,0,23607.0,58049.75
tX0673,0,22298.0,51718.0
tX0674,0,21764.0,49553.0
tX0675,0,21250.0,47946.75
tX0676,0,20857.0,48325.25
tX0677,0,20692.0,49098.25
tX0678,0,20736.0,51068.75
tX0679,0,21196.0,60108.5
tX0680,0,21702.0,68369.25
tX0681,374.0,21928.0,69946.75
tX0682,2340.0,21804.0,70513.5
tX0683,4193.0,22086.0,72034.25
tX0684,5280.0,21592.0,73021.75
tX0685,5499.0,21419.0,72522.75
tX0686,4715.0,20114.0,71513.75
tX0687,3317.0,18302.0,70967.75
tX0688,1690.0,15872.0,69546.25
tX0689,348.0,13735.0,67643.75
tX0690,11.0,12644.0,69389.75
tX0691,0,12003.0,69947.25
tX0692,0,10953.0,68022.5
tX0693,0,10059.0,64160.0
tX0694,0,9208.0,60839.0
tX0695,0,8556.0,57982.5
tX0696,0,7818.0,53735.0
tX0697,0,6922.0,49958.0
tX0698,0,6374.0,47988.5
tX0699,0,5732.0,47348.5
tX0700,0,5581.0,47400.5
tX0701,0,5640.0,48343.5
tX0702,0,5708.0,50826.5
tX0703,0,5862.0,58148.75
tX0704,0,5819.0,64955.0
tX0705,135.0,6002.0,67298.0
tX0706,738.0,6043.0,67571.5
tX0707,1548.0,6113.0,68506.25
tX0708,2234.0,6164.0,68994.0
tX0709,2697.0,5682.0,68103.5
tX0710,2606.0,5568.0,66617.0
tX0711,2100.0,5226.0,64956.0
tX0712,1112.0,4467.0,63691.75
tX0713,266.0,3994.0,63858.5
tX0714,11.0,3662.0,67008.75
tX0715,0,3831.0,68003.0
tX0716,0,4384.0,65944.5
tX0717,0,4697.0,61678.0
tX0718,0,4952.0,58659.5
tX0719,0,4939.0,57037.75
tX0720,0,4956.0,53610.25
tX0721,0,4967.0,49916.0
tX0722,0,5058.0,47746.0
tX0723,0,5513.0,46410.0
tX0724,0,6034.0,45349.0
tX0725,0,6501.0,45100.0
tX0726,0,6569.0,44308.5
tX0727,0,6309.0,44432.25
tX0728,0,6065.0,47920.25
tX0729,150.0,5845.0,52216.5
tX0730,759.0,5700.0,55527.75
tX0731,1845.0,5512.0,56930.25
tX0732,3167.0,5264.0,57819.75
tX0733,3934.0,5098.0,57265.5
tX0734,4202.0,5023.0,55337.75
tX0735,3563.0,4876.0,54273.5
tX0736,2032.0,4770.0,53274.75
tX0737,522.0,4564.0,53256.75
tX0738,20.0,4755.0,57091.5
tX0739,0,5230.0,58867.25
tX0740,0,5651.0,56302.75
tX0741,0,6072.0,52748.75
tX0742,0,6347.0,50432.75
tX0743,0,6224.0,50446.5
tX0744,0,5942.0,47831.75
tX0745,0,5637.0,44970.0
tX0746,0,5249.0,42587.75
tX0747,0,4926.0,41418.75
tX0748,0,4293.0,40711.0
tX0749,0,4032.0,40349.0
